location distance crime_count
"(47.563471974999999, -122.286857029)" 0.058701538262 3
"(47.548312369000001, -122.374353449)" 0.0170704263757 2
"(47.691506781999998, -122.35531139699999)" 0.0233322074435 30
"(47.679385928999999, -122.268529156)" 0.0704602019062 2
"(47.669058454000002, -122.378883989)" 0.0554567004529 1
"(47.639342716999998, -122.34708267400001)" 0.0250662094632 1
"(47.602297364999998, -122.33558028)" 0.0066878066002 13
"(47.561159693, -122.274474283)" 0.0690276194568 3
"(47.699742968999999, -122.395053469)" 0.0601863259434 2
"(47.625158116000001, -122.359317283)" 0.024362426569 3
"(47.562009046999997, -122.38677671400001)" 0.0355402776107 21
"(47.690307273000002, -122.30739165200001)" 0.0302991636483 4
"(47.670157574000001, -122.364014338)" 0.0437812997037 1
"(47.520562007999999, -122.284844421)" 0.0788139149805 4
"(47.617674757000003, -122.34188186900001)" 0.00548425257098 13
"(47.628143379000001, -122.29773160400001)" 0.0233706646724 2
"(47.518347884999997, -122.33952244699999)" 0.0289152074352 1
"(47.534982651, -122.269168949)" 0.0915740982032 2
"(47.553785517999998, -122.332383209)" 0.0343179450015 2
"(47.712827910999998, -122.287943286)" 0.0480436736512 3
"(47.615284522000003, -122.313504311)" 0.0037658561222 33
"(47.517734795999999, -122.259565178)" 0.104168961926 1
"(47.645987613000003, -122.30905987200001)" 0.0317475776855 2
"(47.737311847000001, -122.351837076)" 0.038332082513 1
"(47.706018221999997, -122.359448074)" 0.0246957271233 1
"(47.596181186999999, -122.28902219299999)" 0.0341208552554 2
"(47.71992916, -122.371748888)" 0.0405481250903 1
"(47.546673032999998, -122.386464746)" 0.0264678562128 1
"(47.594156505000001, -122.324420429)" 0.0110785204508 3
"(47.672375662, -122.388695082)" 0.0618083250827 6
"(47.732532511000002, -122.299217067)" 0.0464212043031 1
"(47.718495845, -122.311298153)" 0.0283309062293 1
"(47.698720119999997, -122.39338640299999)" 0.0585857029692 3
"(47.637759039999999, -122.366983637)" 0.0370959719763 2
"(47.676263149, -122.392958302)" 0.0638316922235 2
"(47.716245706000002, -122.297027134)" 0.0402026321811 25
"(47.709562974999997, -122.33285263800001)" 0.00698528189908 18
"(47.599998016000001, -122.307008005)" 0.0184410340024 13
"(47.691645604999998, -122.28933664900001)" 0.0469812643111 3
"(47.641529636999998, -122.403479119)" 0.0714611250785 1
"(47.697488837999998, -122.29464302700001)" 0.0406685719766 6
"(47.518101543, -122.355829486)" 0.019415189771 10
"(47.570689885999997, -122.41043829100001)" 0.0592647529501 3
"(47.676718178000002, -122.32312134)" 0.0287298625238 9
"(47.629146853000002, -122.28134932499999)" 0.0384899565645 4
"(47.687812563000001, -122.37409712199999)" 0.0419538784394 3
"(47.603912727999997, -122.29996243799999)" 0.0207286651009 1
"(47.646870030000002, -122.334547697)" 0.0303129642563 6
"(47.646347568000003, -122.337814114)" 0.0297565991807 6
"(47.657739360999997, -122.35157218000001)" 0.0437946624488 2
"(47.731685605000003, -122.367897359)" 0.043750880223 1
"(47.519844859999999, -122.26676226399999)" 0.0967126424569 30
"(47.538326022, -122.29514062)" 0.0669142997657 17
"(47.647721425, -122.404673759)" 0.074933037128 1
"(47.637169485000001, -122.36029116500001)" 0.0314372528352 2
"(47.617250959000003, -122.35207624100001)" 0.0155890151373 2
"(47.687020253999997, -122.282158856)" 0.0551277717476 1
"(47.550104247999997, -122.370632578)" 0.0160959594896 1
"(47.531005751000002, -122.289878954)" 0.0723599351227 1
"(47.616383859999999, -122.335738241)" 0.000797520453455 3
"(47.657412942999997, -122.33862028599999)" 0.040848008658 1
"(47.649496030999998, -122.390825826)" 0.0634990455432 5
"(47.636982572999997, -122.34951973699999)" 0.024169152462 5
"(47.608575074000001, -122.287218548)" 0.0307990875523 1
"(47.554835722999997, -122.275371022)" 0.072987156688 12
"(47.679921307000001, -122.26786031499999)" 0.0709157681012 1
"(47.554972249000002, -122.354793527)" 0.0198391160236 6
"(47.624268186999998, -122.320415705)" 0.00948501505186 2
"(47.663419128999998, -122.396927925)" 0.0734847083564 1
"(47.696135632999997, -122.27901383299999)" 0.0563436903261 2
"(47.619323643999998, -122.320863687)" 0.00537993973319 349
"(47.504886964999997, -122.261742536)" 0.105152077571 2
"(47.556238553, -122.305880508)" 0.0532856299512 2
"(47.660216079000001, -122.350517647)" 0.0454342243804 4
"(47.557201806000002, -122.357039574)" 0.0212948144703 1
"(47.665234566999999, -122.285804981)" 0.0590043339041 3
"(47.625111556999997, -122.293777276)" 0.0254515749891 28
"(47.565811201000002, -122.365466664)" 0.0295119833883 1
"(47.670140940000003, -122.331742138)" 0.03291574685 2
"(47.543155097000003, -122.393833261)" 0.0324921179106 1
"(47.552330959999999, -122.30987856900001)" 0.0545012940201 4
