Type,Date,Location
Aid Response,03/01/2010,47.612716 -122.345399
Aid Response,03/01/2010,47.604413 -122.329842
Medic Response,03/01/2010,47.661204 -122.297647
Aid Response,03/01/2010,47.602172 -122.330863
Aid Response,03/01/2010,47.605624 -122.334019
Motor Vehicle Accident,03/01/2010,47.649774 -122.357678
Aid Response,03/01/2010,47.581177 -122.384072
Aid Response,03/01/2010,47.719638 -122.355539
Aid Response,03/01/2010,47.545337 -122.329588
Fire in Single Family Res,03/01/2010,47.524478 -122.357778
Automatic Fire Alarm Resd,03/01/2010,47.731051 -122.285817
Medic Response,03/01/2010,47.607742 -122.326595
Aid Response,03/01/2010,47.723212 -122.344977
Medic Response,03/01/2010,47.615369 -122.343934
Aid Response,03/01/2010,47.726704 -122.307279
"Medic Response, 7 per Rule",03/01/2010,47.624511 -122.303549
Medic Response,03/01/2010,47.588027 -122.386277
Aid Response,03/01/2010,47.612578 -122.341197
Medic Response,03/01/2010,47.560543 -122.312104
Aid Response,03/01/2010,47.72343 -122.348165
Alarm Bell,03/01/2010,47.61707 -122.327832
Medic Response,03/01/2010,47.666436 -122.313051
Trans to AMR,03/01/2010,47.612626 -122.341277
Aid Response,03/01/2010,47.62635 -122.351473
Aid Response Yellow,03/01/2010,47.657763 -122.389896
Trans to AMR,03/01/2010,47.521539 -122.283687
Auto Fire Alarm,03/01/2010,47.537112 -122.302612
Medic Response,03/01/2010,47.663402 -122.30089
Aid Response,03/01/2010,47.697836 -122.351257
Trans to AMR,03/01/2010,47.551937 -122.280445
Aid Response,03/01/2010,47.661269 -122.31313
Aid Response,03/01/2010,47.580917 -122.385184
Aid Response,03/01/2010,47.604625 -122.32697
Medic Response,03/01/2010,47.658094 -122.39225
Medic Response,03/01/2010,47.602985 -122.328535
Rescue Elevator,03/01/2010,47.616403 -122.320817
Medic Response,03/01/2010,47.702517 -122.361806
Medic Response,03/01/2010,47.661269 -122.313049
Aid Response,03/01/2010,47.661332 -122.314285
Auto Fire Alarm,03/01/2010,47.521023 -122.366095
Aid Response,03/01/2010,47.657529 -122.313228
Aid Response,03/01/2010,47.626322 -122.348863
Aid Response,03/01/2010,47.635999 -122.356955
Aid Response,03/01/2010,47.615789 -122.336507
Medic Response,03/01/2010,47.613436 -122.344632
Aid Response,03/01/2010,47.599233 -122.297415
Medic Response,03/01/2010,47.664987 -122.32547
Auto Fire Alarm,03/01/2010,47.589096 -122.394598
Medic Response,03/01/2010,47.524322 -122.369918
Aid Response,03/01/2010,47.521883 -122.269993
Aid Response,03/01/2010,47.610044 -122.338062
Trans to AMR,03/01/2010,47.617068 -122.330944
Auto Fire Alarm,03/01/2010,47.607026 -122.28944
Trans to AMR,03/01/2010,47.661386 -122.336045
Aid Response,03/01/2010,47.615616 -122.334436
Aid Response,03/01/2010,47.521595 -122.264225
Medic Response,03/01/2010,47.715844 -122.30584
Automatic Fire Alarm Resd,03/01/2010,47.679603 -122.349751
Medic Response,03/01/2010,47.542466 -122.275011
Aid Response,03/01/2010,47.536977 -122.267114
Aid Response,03/01/2010,47.537628 -122.275206
Medic Response,03/01/2010,47.523307 -122.269986
Medic Response,03/01/2010,47.609814 -122.340922
Aid Response,03/01/2010,47.588027 -122.386277
Aid Response,03/01/2010,47.618412 -122.355206
Medic Response,03/01/2010,47.600044 -122.334185
Medic Response,03/01/2010,47.684056 -122.321571
Medic Response,03/01/2010,47.617173 -122.333103
Aid Response,03/01/2010,47.601702 -122.32215
Aid Response,03/01/2010,47.732846 -122.296531
Aid Response,03/01/2010,47.603519 -122.319275
Medic Response,03/01/2010,47.523246 -122.279209
Aid Response Yellow,03/01/2010,47.584436 -122.300326
Aid Response,03/01/2010,47.580147 -122.295178
Aid Response,03/01/2010,47.625715 -122.357024
Rescue Lock In/Out,03/01/2010,47.604592 -122.311557
Aid Response,03/01/2010,47.53865 -122.32063
Aid Response,03/01/2010,47.692425 -122.356538
Aid Response,03/01/2010,47.603698 -122.329187
Aid Response,03/01/2010,47.709488 -122.323301
Medic Response,03/01/2010,47.519853 -122.268364
Aid Response,03/01/2010,47.661354 -122.327027
Aid Response,03/01/2010,47.588027 -122.386277
Auto Fire Alarm,03/01/2010,47.604994 -122.338048
Medic Response,03/01/2010,47.675781 -122.308714
Medic Response,03/01/2010,47.636465 -122.367672
Aid Response Yellow,03/01/2010,47.674663 -122.323407
Auto Fire Alarm,03/01/2010,47.65991 -122.316615
Medic Response,03/01/2010,47.622089 -122.351371
Aid Response,03/01/2010,47.660985 -122.346958
"Hang-Up, Aid",03/01/2010,47.681178 -122.346954
Rescue Elevator,03/01/2010,47.614279 -122.315533
Aid Response,03/01/2010,47.617563 -122.322168
Medic Response,03/01/2010,47.616342 -122.326788
Aid Response,03/01/2010,47.622077 -122.298465
Medic Response,03/01/2010,47.570752 -122.362228
Aid Response,03/01/2010,47.612908 -122.311474
Medic Response,03/01/2010,47.672199 -122.401099
Aid Response,03/01/2010,47.719638 -122.355539
Medic Response,03/01/2010,47.572163 -122.296173
Aid Response,03/01/2010,47.657529 -122.313228
Motor Vehicle Accident Freeway,03/01/2010,47.623235 -122.343567
Aid Response,03/01/2010,47.611553 -122.311479
Medic Response,03/01/2010,47.602985 -122.328535
Trans to AMR,03/01/2010,47.643238 -122.351739
Aid Response,03/01/2010,47.618693 -122.334256
Trans to AMR,03/01/2010,47.561926 -122.376204
Aid Response,03/01/2010,47.534478 -122.269989
Aid Response,03/01/2010,47.609089 -122.323377
Auto Fire Alarm,03/01/2010,47.535387 -122.267284
Aid Response,03/01/2010,47.679484 -122.395844
