"(47.712318000000003, -122.344325)" 0.0081941210633 2
"(47.681387000000001, -122.344218)" 0.0107734453635 1
"(47.586354, -122.31075300000001)" 0.0147631295124 1
"(47.608561000000002, -122.3321)" 0.00833463646479 1
"(47.708450999999997, -122.285397)" 0.0129299686388 1
"(47.702212000000003, -122.30427)" 0.0144015980016 1
"(47.624425000000002, -122.308421)" 0.0110906300092 3
"(47.717601999999999, -122.312617)" 0.0163592504718 1
"(47.575907999999998, -122.410912)" 0.02373077051 1
"(47.609932000000001, -122.33796)" 0.00634875436602 1
"(47.635606000000003, -122.399734)" 0.00459199063588 1
"(47.569237000000001, -122.371433)" 0.00986406660561 4
"(47.526088999999999, -122.360472)" 0.00974257430046 1
"(47.650734999999997, -122.345861)" 0.00418290281981 1
"(47.652976000000002, -122.31246400000001)" 0.0128925756154 6
"(47.676071999999998, -122.347627)" 0.00946015163727 4
"(47.531959000000001, -122.33433599999999)" 0.0130579355566 1
"(47.614030999999997, -122.34960599999999)" 0.00532539294325 3
"(47.656708000000002, -122.33261400000001)" 0.0165605051251 1
"(47.679217000000001, -122.323713)" 0.000523329723972 2
"(47.597830000000002, -122.297456)" 0.00638881522663 1
"(47.685490000000001, -122.34981500000001)" 0.00620794531226 1
"(47.710298000000002, -122.30246200000001)" 0.0124609139713 1
"(47.702399999999997, -122.360743)" 0.0187875874981 3
"(47.624603, -122.36569299999999)" 0.0125639344156 1
"(47.652388000000002, -122.36452199999999)" 0.0099980095019 2
"(47.575169000000002, -122.392062)" 0.00980058773747 1
"(47.573821000000002, -122.386763)" 0.0107571070925 1
"(47.592882000000003, -122.299057)" 0.00932606160176 1
"(47.704382000000003, -122.35883200000001)" 0.0178082892216 2
"(47.649161999999997, -122.32174000000001)" 0.0062447466722 1
"(47.571615000000001, -122.31659999999999)" 0.00795501382777 1
"(47.540689, -122.267073)" 0.0122295653643 2
"(47.558669999999999, -122.291284)" 0.0172851099216 5
"(47.596674, -122.325065)" 0.00758642346565 2
"(47.526324000000002, -122.355074)" 0.00761943180296 2
"(47.506386999999997, -122.250895)" 0.0201662561969 1
"(47.620817000000002, -122.33162400000001)" 0.0139060565942 3
"(47.730147000000002, -122.29606800000001)" 0.00882701274498 3
"(47.604624999999999, -122.32697)" 0.00689243244436 13
"(47.609464000000003, -122.33599700000001)" 0.00647335036902 3
"(47.690992999999999, -122.37410300000001)" 0.00383300469605 1
"(47.599192000000002, -122.325681)" 0.00630448927353 1
"(47.666437999999999, -122.37888700000001)" 0.00249628524012 2
"(47.543182000000002, -122.283241)" 0.00856896026365 1
"(47.649628, -122.33752699999999)" 0.0120407712793 1
"(47.658805000000001, -122.345643)" 0.0061108889697 1
"(47.56532, -122.3708)" 0.0100127184121 4
"(47.670971000000002, -122.378883)" 0.00301168806486 1
"(47.597943999999998, -122.295067)" 0.00841560152336 1
"(47.629207000000001, -122.303544)" 0.0126241415154 2
"(47.658546000000001, -122.40239800000001)" 0.0185117943485 5
"(47.546278999999998, -122.38047299999999)" 0.0100585595887 1
"(47.696662000000003, -122.290457)" 0.000491564848209 1
"(47.551220999999998, -122.284738)" 0.00868045217716 1
"(47.667217999999998, -122.319526)" 0.00352509432498 1
"(47.541898000000003, -122.361163)" 0.010259645218 2
"(47.670909000000002, -122.38256)" 0.00580411939919 3
"(47.659494000000002, -122.39382500000001)" 0.0155951165754 3
"(47.579810999999999, -122.33512500000001)" 0.0083719765886 1
"(47.685488999999997, -122.35208)" 0.00450562859099 1
"(47.589604000000001, -122.315986)" 0.0177991921165 1
"(47.575887999999999, -122.409437)" 0.0223670962353 1
"(47.690396999999997, -122.322919)" 0.0112764520129 1
"(47.673006999999998, -122.277344)" 0.0162388227714 1
"(47.553382999999997, -122.275244)" 0.00506593821517 1
"(47.615488999999997, -122.332307)" 0.0124496385891 4
"(47.546726999999997, -122.391256)" 0.0178562806878 2
"(47.531733000000003, -122.35393000000001)" 0.00233015578878 1
"(47.617412999999999, -122.346886)" 0.00247362608331 6
"(47.721980000000002, -122.330038)" 0.0203814861333 1
"(47.497399999999999, -122.264065)" 0.019088796138 1
"(47.622964000000003, -122.295984)" 0.00555335898353 1
"(47.618127999999999, -122.325931)" 0.011133320484 1
"(47.655591000000001, -122.34857100000001)" 0.00199091737649 1
"(47.572951000000003, -122.413439)" 0.0272115064816 1
"(47.675947000000001, -122.298404)" 0.00901901796207 1
"(47.655942000000003, -122.33381799999999)" 0.0152441128965 2
"(47.520580000000002, -122.37811600000001)" 0.0167279865196 1
"(47.553511999999998, -122.362966)" 0.017565258552 2
"(47.568952000000003, -122.32241)" 0.00836076707007 1
"(47.575042000000003, -122.311179)" 0.00416005877363 1
"(47.577385999999997, -122.297415)" 0.00324126209986 1
"(47.690632000000001, -122.37144000000001)" 0.00631835619445 4
"(47.665730000000003, -122.340096)" 0.0149591960345 1
"(47.571196999999998, -122.289929)" 0.00650245130701 1
"(47.652690999999997, -122.37228899999999)" 0.00418375238273 1
"(47.686675000000001, -122.29864000000001)" 0.0126966475103 1
"(47.645428000000003, -122.39560299999999)" 0.0072336143801 1
"(47.690615000000001, -122.375466)" 0.00317155766146 1
"(47.533341999999998, -122.283312)" 0.0165951931896 1
"(47.612226, -122.33515800000001)" 0.00933510203479 5
"(47.531475, -122.360444)" 0.00625281392654 2
"(47.695701999999997, -122.298753)" 0.00788835927174 1
"(47.61307, -122.307501)" 0.00799525040258 1
"(47.533512000000002, -122.353916)" 0.000885959931382 1
"(47.634717999999999, -122.284729)" 0.0109375293828 1
"(47.686847, -122.38978299999999)" 0.0141597521518 1
"(47.542484000000002, -122.271323)" 0.00792063532806 7
"(47.670274999999997, -122.37621300000001)" 0.00219160876982 4
"(47.676470999999999, -122.36763000000001)" 0.0126258450014 4
"(47.613971999999997, -122.327827)" 0.0128306499056 1
"(47.580544000000003, -122.313367)" 0.00998814522322 2
"(47.535418999999997, -122.352784)" 0.00242015412733 2
