type dayOfWeek location
"Aid Response" 0 "(47.612715999999999, -122.345399)"
"Aid Response" 0 "(47.604413000000001, -122.329842)"
"Medic Response" 0 "(47.661203999999998, -122.297647)"
"Aid Response" 0 "(47.602172000000003, -122.33086299999999)"
"Aid Response" 0 "(47.605623999999999, -122.334019)"
"Motor Vehicle Accident" 0 "(47.649774000000001, -122.35767800000001)"
"Aid Response" 0 "(47.581176999999997, -122.384072)"
"Aid Response" 0 "(47.719638000000003, -122.35553899999999)"
"Aid Response" 0 "(47.545337000000004, -122.329588)"
"Fire in Single Family Res" 0 "(47.524478000000002, -122.357778)"
"Automatic Fire Alarm Resd" 0 "(47.731051000000001, -122.28581699999999)"
"Medic Response" 0 "(47.607742000000002, -122.326595)"
"Aid Response" 0 "(47.723211999999997, -122.344977)"
"Medic Response" 0 "(47.615369000000001, -122.343934)"
"Aid Response" 0 "(47.726703999999998, -122.30727899999999)"
"""Medic Response" 0 "(47.624510999999998, -122.303549)"
"Medic Response" 0 "(47.588026999999997, -122.38627700000001)"
"Aid Response" 0 "(47.612577999999999, -122.34119699999999)"
"Medic Response" 0 "(47.560543000000003, -122.31210400000001)"
"Aid Response" 0 "(47.72343, -122.34816499999999)"
"Alarm Bell" 0 "(47.617069999999998, -122.327832)"
"Medic Response" 0 "(47.666435999999997, -122.313051)"
"Trans to AMR" 0 "(47.612625999999999, -122.34127700000001)"
"Aid Response" 0 "(47.626350000000002, -122.351473)"
"Aid Response Yellow" 0 "(47.657763000000003, -122.38989599999999)"
"Trans to AMR" 0 "(47.521538999999997, -122.283687)"
"Auto Fire Alarm" 0 "(47.537112, -122.302612)"
"Medic Response" 0 "(47.663401999999998, -122.30089)"
"Aid Response" 0 "(47.697836000000002, -122.351257)"
"Trans to AMR" 0 "(47.551937000000002, -122.280445)"
"Aid Response" 0 "(47.661268999999997, -122.31313)"
"Aid Response" 0 "(47.580916999999999, -122.385184)"
"Aid Response" 0 "(47.604624999999999, -122.32697)"
"Medic Response" 0 "(47.658093999999998, -122.39225)"
"Medic Response" 0 "(47.602984999999997, -122.328535)"
"Rescue Elevator" 0 "(47.616402999999998, -122.32081700000001)"
"Medic Response" 0 "(47.702517, -122.361806)"
"Medic Response" 0 "(47.661268999999997, -122.31304900000001)"
"Aid Response" 0 "(47.661332000000002, -122.314285)"
"Auto Fire Alarm" 0 "(47.521023, -122.366095)"
"Aid Response" 0 "(47.657528999999997, -122.313228)"
"Aid Response" 0 "(47.626322000000002, -122.34886299999999)"
"Aid Response" 0 "(47.635998999999998, -122.356955)"
"Aid Response" 0 "(47.615788999999999, -122.336507)"
"Medic Response" 0 "(47.613436, -122.344632)"
"Aid Response" 0 "(47.599232999999998, -122.297415)"
"Medic Response" 0 "(47.664987000000004, -122.32547)"
"Auto Fire Alarm" 0 "(47.589095999999998, -122.394598)"
"Medic Response" 0 "(47.524321999999998, -122.369918)"
"Aid Response" 0 "(47.521883000000003, -122.269993)"
"Aid Response" 0 "(47.610044000000002, -122.33806199999999)"
"Trans to AMR" 0 "(47.617068000000003, -122.330944)"
"Auto Fire Alarm" 0 "(47.607025999999998, -122.28944)"
"Trans to AMR" 0 "(47.661386, -122.336045)"
"Aid Response" 0 "(47.615616000000003, -122.334436)"
"Aid Response" 0 "(47.521594999999998, -122.264225)"
"Medic Response" 0 "(47.715843999999997, -122.30584)"
"Automatic Fire Alarm Resd" 0 "(47.679603, -122.349751)"
"Medic Response" 0 "(47.542465999999997, -122.27501100000001)"
"Aid Response" 0 "(47.536977, -122.26711400000001)"
"Aid Response" 0 "(47.537627999999998, -122.275206)"
"Medic Response" 0 "(47.523307000000003, -122.269986)"
"Medic Response" 0 "(47.609814, -122.34092200000001)"
"Aid Response" 0 "(47.588026999999997, -122.38627700000001)"
"Aid Response" 0 "(47.618411999999999, -122.355206)"
"Medic Response" 0 "(47.600043999999997, -122.33418500000001)"
"Medic Response" 0 "(47.684055999999998, -122.32157100000001)"
"Medic Response" 0 "(47.617173000000001, -122.33310299999999)"
"Aid Response" 0 "(47.601702000000003, -122.32214999999999)"
"Aid Response" 0 "(47.732846000000002, -122.296531)"
"Aid Response" 0 "(47.603518999999999, -122.319275)"
"Medic Response" 0 "(47.523246, -122.27920899999999)"
"Aid Response Yellow" 0 "(47.584435999999997, -122.300326)"
"Aid Response" 0 "(47.580146999999997, -122.29517800000001)"
"Aid Response" 0 "(47.625715, -122.357024)"
"Rescue Lock In/Out" 0 "(47.604591999999997, -122.31155699999999)"
"Aid Response" 0 "(47.538649999999997, -122.32062999999999)"
"Aid Response" 0 "(47.692425, -122.356538)"
"Aid Response" 0 "(47.603698000000001, -122.329187)"
"Aid Response" 0 "(47.709488, -122.323301)"
"Medic Response" 0 "(47.519852999999998, -122.26836400000001)"
