City Feature,Common Name,Address,Website,Longitude,Latitude
Alternative Schools,Madrona K-8,1121 33rd Ave,http://www.seattleschools.org/schools/madrona/,-122.290868,47.612237
Alternative Schools,Salmon Bay,1810 NW 65th St,http://www.salmonbayschool.org/,-122.38051,47.676298
Alternative Schools,Tops K-8,2500 Franklin Ave E,http://www.topsk8.org/,-122.324177,47.642286
Alternative Schools,South Lake Hs,8601 Rainier Ave S,http://www.seattleschools.org/schools/southlake/,-122.27092,47.52526
Alternative Schools,Orca K-8,5215 46th Ave S,http://www.orcapta.org,-122.27596,47.55478
Alternative Schools,Thornton Creek K-8,7711 43rd Ave NE,http://www.seattleschools.org/schools/ae2/,-122.282669,47.685032
Alternative Schools,The Center School,305 Harrison,http://www.centerschoolseattle.org,-122.353983,47.622078
Alternative Schools,Nova,301 21st Ave E,,-122.30524,47.6216
Alternative Schools,As #1 At Pinehurst,11530 12th Ave NE,http://as1web.com/,-122.31466,47.713431
Alternative Schools,Catharine Blaine K-8,2550 34th Ave W,http://www.seattleschools.org/schools/blaine/,-122.399261,47.642257
Alternative Schools,The New School At Southshore,4800 S Henderson St,http://www.seattleschools.org/schools/southshore/,-122.27201,47.52374
Alternative Schools,Pathfinder,1901 SW Genesee St,http://www.seattleschools.org/schools/pathfinder/welcome.html,-122.358,47.5636
Basketball Courts,Denny Park,100 Dexter Ave. N,http://www.seattle.gov/parks/park_detail.asp?ID=309,-122.341049,47.61913
Basketball Courts,Discovery Park,3801 W Government Way,http://www.seattle.gov/parks/park_detail.asp?ID=310,-122.41313,47.669412
Basketball Courts,East Queen Anne Playground,1912 Warren Ave. N,http://www.seattle.gov/parks/park_detail.asp?ID=329,-122.353788,47.636139
Basketball Courts,Kerry Park And Viewpoint,211 W Highland Dr.,http://www.seattle.gov/parks/park_detail.asp?ID=342,-122.359947,47.629173
Basketball Courts,Powell Barnett Park,352 Martin Luther King Jr. Way,http://www.seattle.gov/parks/park_detail.asp?ID=345,-122.295998,47.605197
Basketball Courts,Cascade Playground,333 Pontius Ave. N,http://www.seattle.gov/parks/park_detail.asp?ID=350,-122.332627,47.621807
Basketball Courts,Prentis I. Frazier Park,401 24th Ave. E,http://www.seattle.gov/parks/park_detail.asp?ID=357,-122.301614,47.622894
Basketball Courts,Flo Ware Park,2800 S Jackson St.,http://www.seattle.gov/parks/park_detail.asp?ID=363,-122.295867,47.599557
Basketball Courts,Pendleton Miller Playfield,400 19th Ave. E,http://www.seattle.gov/parks/park_detail.asp?ID=373,-122.306615,47.622067
Basketball Courts,Roanoke Park,10th Ave. E and E Roanoke Park,http://www.seattle.gov/parks/park_detail.asp?ID=379,-122.320223,47.643837
Basketball Courts,Pinehurst Playground,12029 14th Ave. NE,http://www.seattle.gov/parks/park_detail.asp?ID=382,-122.314626,47.716437
Basketball Courts,Beacon Hill Playground,1902 13th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=400,-122.315325,47.586228
Basketball Courts,Brighton Playfield,6000 39th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=402,-122.282098,47.548389
Basketball Courts,Colman Playground,1740 23rd Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=406,-122.301959,47.587625
Basketball Courts,Georgetown Playfield,750 S Homer St.,http://www.seattle.gov/parks/park_detail.asp?ID=410,-122.3214,47.551606
Basketball Courts,Rainier Playfield,3700 S Alaska St.,http://www.seattle.gov/parks/park_detail.asp?ID=423,-122.286199,47.561819
Basketball Courts,"John C. Little, Sr. Park",6961 37th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=429,-122.286686,47.539048
Basketball Courts,Van Asselt Playground,7200 Beacon Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=431,-122.294066,47.539447
Basketball Courts,Freed Hutchinson Playground,S Norfolk St. and 59th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=439,-122.260061,47.514311
Basketball Courts,View Ridge Playfield,4408 NE 70th St.,http://www.seattle.gov/parks/park_detail.asp?ID=444,-122.281073,47.680361
Basketball Courts,Delridge Playfield,4458 Delridge Way SW,http://www.seattle.gov/parks/park_detail.asp?ID=450,-122.364369,47.562841
Basketball Courts,Hiawatha Playfield,2700 California Ave. SW,http://www.seattle.gov/parks/park_detail.asp?ID=456,-122.38523,47.578526
Basketball Courts,E.C. Hughes Playground,2805 SW Holden St.,http://www.seattle.gov/parks/park_detail.asp?ID=458,-122.370211,47.532807
Basketball Courts,Bryant Playground,4103 NE 65th St.,http://www.seattle.gov/parks/park_detail.asp?ID=482,-122.283764,47.675545
Basketball Courts,Cowen Park,5849 15th Ave. NE,http://www.seattle.gov/parks/park_detail.asp?ID=483,-122.313072,47.672596
Basketball Courts,Burke-Gilman Playground Park,5201 Sand Point Way NE,http://www.seattle.gov/parks/park_detail.asp?ID=496,-122.282622,47.666633
Basketball Courts,Dahl (Waldo J.) Playfield,7700 25th Ave. NE,http://www.seattle.gov/parks/park_detail.asp?ID=499,-122.299309,47.685267
Basketball Courts,Meridian Playground,4649 Sunnyside Ave. N,http://www.seattle.gov/parks/park_detail.asp?ID=1104,-122.332557,47.664157
Basketball Courts,Unnamed Sister City Park,I-90 Lid,http://www.seattle.gov/parks/park_detail.asp?ID=3121,-122.30084,47.588907
Basketball Courts,Jefferson Park,4165 16th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=114,-122.312031,47.570105
Basketball Courts,B.F. Day Playground,4020 Fremont Ave. N,http://www.seattle.gov/parks/park_detail.asp?ID=241,-122.349222,47.656305
Basketball Courts,Gilman Playground,923 NW 54th St.,http://www.seattle.gov/parks/park_detail.asp?ID=242,-122.369684,47.667293
Basketball Courts,Golden Garden Park,8498 Seaview Pl. NW,http://www.seattle.gov/parks/park_detail.asp?ID=243,-122.404273,47.692676
Basketball Courts,Ross Playground,4320 4th Ave. NW,http://www.seattle.gov/parks/park_detail.asp?ID=248,-122.361324,47.660031
Basketball Courts,Sandel Playground,9053 1st Ave. NW,http://www.seattle.gov/parks/park_detail.asp?ID=250,-122.358699,47.695135
Basketball Courts,Loyal Heights Playfield,2101 NW 77th St.,http://www.seattle.gov/parks/park_detail.asp?ID=289,-122.383241,47.684105
Basketball Courts,Bay View Playground,2614 24th Ave. W,http://www.seattle.gov/parks/park_detail.asp?ID=303,-122.386787,47.643801
Basketball Courts,Green Lake Park,7201 E Green Lake Dr. N,http://www.seattle.gov/parks/park_detail.asp?ID=307,-122.337787,47.682453
Basketball Courts,Pratt Park,1800 S Main St.,http://www.seattle.gov/parks/park_detail.asp?ID=390,-122.307257,47.601407
Basketball Courts,Othello Playground,4351 S Othello St.,http://www.seattle.gov/parks/park_detail.asp?ID=403,-122.278678,47.536135
Basketball Courts,Maple Wood Playfield,4801 Corson Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=418,-122.319112,47.558614
Basketball Courts,Benefit Playground,9320 38th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=436,-122.284527,47.518998
Basketball Courts,Alki Playground,8347 14th Ave. NW,http://www.seattle.gov/parks/park_detail.asp?ID=446,-122.407313,47.578497
Basketball Courts,Riverview Playfield,7226 12th Ave. SW,http://www.seattle.gov/parks/park_detail.asp?ID=463,-122.348688,47.54101
Basketball Courts,Ravenna-Eckstein Park,6535 Ravenna Ave. NE,http://www.seattle.gov/parks/park_detail.asp?ID=488,-122.304964,47.676873
Basketball Courts,Christie Park,NE 43rd St. and 9th Ave. NE,http://www.seattle.gov/parks/park_detail.asp?ID=595,-122.319072,47.659308
Basketball Courts,Nathan Hale Playfield,10750 30th Ave. NE,http://www.seattle.gov/parks/park_detail.asp?ID=4023,-122.292026,47.707714
Beaches,Madrona Park,853 Lake Washington Blvd.,http://www.seattle.gov/parks/beach_detail.asp?ID=370,-122.282475,47.609136
Beaches,Mt Baker Park,2521 Lake Park Dr. S,http://www.seattle.gov/parks/beach_detail.asp?ID=419,-122.287466,47.583471
Beaches,Green Lake Park (East),7201 E Green Lake Dr. N,http://www.seattle.gov/parks/beach_detail.asp?ID=307,-122.329524,47.680357
Beaches,Green Lake Park (West),7201 E Green Lake Dr. N,http://www.seattle.gov/parks/beach_detail.asp?ID=9999,-122.339395,47.68202
Beaches,Madison Park,E. Madison St. and E. Howe St.,http://www.seattle.gov/parks/beach_detail.asp?ID=369,-122.276475,47.63605
Beaches,Warren G Magnuson,6550 Sand Point Way NE,http://www.seattle.gov/parks/beach_detail.asp?ID=398,-122.246372,47.680572
Beaches,Matthews Beach,9300 51st Ave. NE,http://www.seattle.gov/parks/beach_detail.asp?ID=347,-122.27274,47.696947
Beaches,Pritchard Beach,8400 55th Ave. S,http://www.seattle.gov/parks/beach_detail.asp?ID=420,-122.263104,47.529735
Beaches,Seward Park,5902 Lake Washington Blvd. S,http://www.seattle.gov/parks/beach_detail.asp?ID=428,-122.257434,47.551619
Boat Launches,Cormorant Cove Park Boat Launch,3701 Beach Dr. SW,http://www.seattle.gov/parks/park_detail.asp?ID=295,-122.41126,47.570967
Boat Launches,Lowman Park Boat Launch,7017 Beach Dr. SW,http://www.seattle.gov/parks/park_detail.asp?ID=461,-122.397522,47.540127
Boat Launches,Duwamish Waterway Park Boat Launch,7900 10th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=705,-122.319716,47.531384
Boat Launches,Golden Gardens Park Boat Launch,8498 Seaview Pl. NW,http://www.seattle.gov/parks/park_detail.asp?ID=9999,-122.403121,47.689725
Boat Launches,Fairview Walkway Boat Launch,2900 Fairview Ave. E,http://www.seattle.gov/parks/park_detail.asp?ID=2975,-122.327462,47.631626
Boat Launches,Day Street Boat Launch,1400 Lakeside Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=4082,-122.285738,47.590064
Boat Launches,Stan Sayers/Mount Baker Rowing And Sailing Center Boat Launch,3800 Lake Washington Blvd. S.,http://www.seattle.gov/parks/park_detail.asp?ID=425,-122.278219,47.570356
Boat Launches,Sand Point Magnuson Park-North Shore Boat Launch,6550 Sand Point Way NE,http://www.seattle.gov/parks/park_detail.asp?ID=398,-122.265028,47.689261
Boat Launches,Lincoln Park Boat Launch,8011 Fauntleroy Way SW,http://www.seattle.gov/parks/park_detail.asp?ID=460,-122.394806,47.526098
Boat Launches,Green Lake Small Craft Center,5900 W Green Lake Way N,http://www.seattle.gov/parks/park_detail.asp?ID=9998,-122.342949,47.671761
Boat Launches,Alki Beach Park - West Boat Launch,1702 Alki Ave. SW,http://www.seattle.gov/parks/park_detail.asp?ID=445,-122.414817,47.578243
Boat Launches,Carkeek Park Landing,950 NW Carkeek Park Rd.,http://www.seattle.gov/parks/park_detail.asp?ID=240,-122.379763,47.712194
Boat Launches,Leschi Park Boat Ramp,100 Lakeside Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=367,-122.284211,47.601518
Boat Launches,14th Ave. Nw Boat Ramp,NW 45th St. and 14 Ave. NW,http://www.seattle.gov/parks/park_detail.asp?ID=4010,-122.373536,47.660775
Boat Launches,Richey View Point Launch,63rd Ave. SW and Beach Dr. SW,http://www.seattle.gov/parks/park_detail.asp?ID=80,-122.413877,47.57242
Boat Launches,Green Lake Park Cove Boat Lauch,7201 E Green Lake Dr. N,http://www.seattle.gov/parks/park_detail.asp?ID=307,-122.330394,47.678938
Boat Launches,Mccurdy Park Boat Launch,E Hamlin St. and E Park Dr. E,http://www.seattle.gov/parks/park_detail.asp?ID=372,-122.299178,47.645437
Boat Launches,32nd Ave. West Boat Launch,The southern street end of 32nd Ave. W,http://www.seattle.gov/parks/park_detail.asp?ID=317,-122.398993,47.632366
Boat Launches,Sunnyside Ave. N Boat Ramp,2301 NE Northlake Way,http://www.seattle.gov/parks/park_detail.asp?ID=3903,-122.330723,47.650292
Boat Launches,Fairview Park  Boat Launch,2900 Fairview Ave. E,http://www.seattle.gov/parks/park_detail.asp?ID=2975,-122.325368,47.647413
Boat Launches,Ferdinand Street Boat Launch,100 Lakeside Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=367,-122.261655,47.557318
Boat Launches,Terry Pettus Park Boat Launch,E Newton St. and Fairview Ave. E,http://www.seattle.gov/parks/park_detail.asp?ID=3889,-122.329456,47.636752
Boat Launches,Seacrest Park Boat Launch,1531 California Way SW,http://www.seattle.gov/parks/park_detail.asp?ID=455,-122.381226,47.589941
Boat Launches,Atlantic City Boat Ramp,8702 Seward Park Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=4081,-122.263078,47.522834
Boat Launches,South Lake Union Park Boat Launch,1000 Valley St.,http://www.seattle.gov/parks/park_detail.asp?ID=344,-122.338848,47.627015
Boat Launches,Green Lake Park East Boat Launch,foot of NE 64th St.,http://www.seattle.gov/parks/park_detail.asp?ID=9996,-122.334113,47.675506
Boat Launches,Beer Sheva Park Boat Launch,8650 55th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=440,-122.262859,47.523512
Boat Launches,Matthews Beach Boat Launch,9300 51st Ave. NE,http://www.seattle.gov/parks/park_detail.asp?ID=347,-122.271785,47.694564
Boat Launches,Martha Washington Park Boat Launch,6612 57th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=432,-122.259287,47.542212
Boat Launches,South Passage Park Boat Launch,3320 Fuhrman Ave. E,http://www.seattle.gov/parks/park_detail.asp?ID=377,-122.322486,47.652087
Boat Launches,Alki Beach Park - East Boat Launch,1702 Alki Ave. SW,http://www.seattle.gov/parks/park_detail.asp?ID=445,-122.402173,47.582912
Boat Launches,Magnuson Park Boat Ramp,6550 Sand Point Way NE,http://www.seattle.gov/parks/park_detail.asp?ID=398,-122.250113,47.676856
Boat Launches,Green Lake Park West Boat Launch,NW of Duck Island,http://www.seattle.gov/parks/park_detail.asp?ID=9995,-122.342511,47.680833
Boat Launches,Washington Park And Arboretum Boat Launch,2300 Arboretum Dr. E,http://www.seattle.gov/parks/park_detail.asp?ID=393,-122.292647,47.641707
Boat Launches,Seward Park Boat Launch,5902 Lake Washington Blvd. S,http://www.seattle.gov/parks/park_detail.asp?ID=428,-122.250639,47.54923
Boat Launches,Eddie Vine Boat Ramp,8001 Seaview Ave. NW,http://www.seattle.gov/parks/park_detail.asp?ID=243,-122.403454,47.686852
Boat Launches,Magnuson Park Boat Launch,6550 Sand Point Way NE,http://www.seattle.gov/parks/park_detail.asp?ID=398,-122.250151,47.675322
Boat Launches,Stan Sayers Memorial Park Boat Ramp,3800 Lake Washington Blvd. S.,http://www.seattle.gov/parks/park_detail.asp?ID=425,-122.277162,47.571222
Boat Launches,Don Armeni Boat Ramp,1222 Harbor Ave. SW,http://www.seattle.gov/parks/park_detail.asp?ID=3917,-122.382295,47.59274
Cemeteries,Bikur Cholum,1340 N 115th St,http://www.seattlevaad.org/Funerals.html,-122.340952,47.712771
Cemeteries,Evergreen-Washelli,11111 Aurora Ave N,http://www.evergreen-washelli.com/,-122.345571,47.709693
Cemeteries,Grand Army Of The Republic,12th Ave E & E. Howe St,http://www.fgar.org/the_gar.htm,-122.316261,47.636461
Cemeteries,Mt. Pleasant,700 W Raye,http://www.historylink.org/essays/output.cfm?file_id=966,-122.365961,47.643308
Cemeteries,Comet Lodge,23rd Ave S & S Graham St,http://www.wikipedia.org/wiki/comet_lodge_cemetery,-122.30447,47.54648
Cemeteries,Calvary,5041 35th Ave NE,http://www.acc-seattle.com/cemeteies/calvery.htm,-122.290677,47.666219
Cemeteries,Crown Hill,8712 12th Ave NW,http://www.crownhillcemetery.us/,-122.368791,47.69258
Cemeteries,Forest Lawn,6701 30th Ave SW,http://www.dignitymemorial.com/4176/LocalHome.aspx?id=home&LocNumbNLang=4176&LoadDefault=0,-122.371342,47.542655
Cemeteries,Ft. Lawton,Discovery Park,http://www.geocities.com/arct187/ftlawcem.html,-122.404943,47.663249
Cemeteries,Hills Of Eternity,520 W Raye St,http://www.tdhs-nw.org/about_us/facilities.php3?page=152,-122.364319,47.643506
Cemeteries,Lake View,1554 15th Ave E,http://www.historylink.org/essays/output.cfm?file_id=857,-122.312235,47.633966
Ceremonies,Camp Long,5200 35th Ave. SW,http://www.seattle.gov/parks/park_detail.asp?ID=4154,-122.37316,47.556242
Ceremonies,Denny Blaine Park,200 Lake Washington Blvd. E,http://www.seattle.gov/parks/park_detail.asp?ID=3982,-122.280548,47.62011
Ceremonies,Emma Schmitz Memorial Overlook,4503 Beach Dr. SW,http://www.seattle.gov/parks/park_detail.asp?ID=3920,-122.407119,47.562898
Ceremonies,Jefferson Park,4165 16th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=114,-122.310923,47.56896
Ceremonies,Kubota Gardens,9817 55th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=415,-122.266768,47.513064
Ceremonies,Madison Park,E. Madison St. and E. Howe St.,http://www.seattle.gov/parks/park_detail.asp?ID=369,-122.276602,47.635779
Ceremonies,Meridian Playground,4649 Sunnyside Ave. N,http://www.seattle.gov/parks/park_detail.asp?ID=1104,-122.332557,47.664157
Ceremonies,Riverview Playfield,35th Ave. SW and SW Alaska St.,http://www.seattle.gov/parks/park_detail.asp?ID=463,-122.348855,47.539328
Ceremonies,Sunset Hill Park,7531 34th Ave. NW,http://www.seattle.gov/parks/park_detail.asp?ID=252,-122.40094,47.684033
Ceremonies,Woodland Park,Aurora Ave. N and N 59th St.,http://www.seattle.gov/parks/park_detail.asp?ID=292,-122.344218,47.668906
Ceremonies,Pritchard Island Beach,8400 55th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=420,-122.26283,47.528948
Ceremonies,Seward Park,5902 Lake Washington Blvd. S,http://www.seattle.gov/parks/park_detail.asp?ID=428,-122.25245,47.5543
Ceremonies,Lake Union Park,1000 Valley St.,http://www.seattle.gov/parks/park_detail.asp?ID=344,-122.337477,47.627143
Ceremonies,Washington Park And Arboretum,2300 Arboretum Dr. E,http://depts.washington.edu/wpa/index.htm,-122.294835,47.636477
Ceremonies,West Seattle Golf Course,4600 35th Ave. SW,http://www.seattle.gov/parks/park_detail.asp?ID=469,-122.369657,47.55986
Ceremonies,Belvedere Park,3600 Admiral Way SW,http://www.seattle.gov/parks/park_detail.asp?ID=447,-122.376896,47.580673
Ceremonies,Bhy Kracke Park,1215 5th Ave. N,http://www.seattle.gov/parks/park_detail.asp?ID=304,-122.348403,47.630426
Ceremonies,Carkeek Park,950 NW Carkeek Park Rd.,http://www.seattle.gov/parks/park_detail.asp?ID=240,-122.372409,47.710822
Ceremonies,Colman Park,1800 Lake Washington Blvd. S,http://www.seattle.gov/parks/park_detail.asp?ID=405,-122.288612,47.58547
Ceremonies,Discovery Park,3801 W Government Way,http://www.seattle.gov/parks/park_detail.asp?ID=310,-122.415282,47.66083
Ceremonies,Don Armeni Boat Ramp,1222 Harbor Ave. SW,http://www.seattle.gov/parks/park_detail.asp?ID=3917,-122.38244,47.59291
Ceremonies,Gas Works Park,2101 N Northlake Way,http://www.seattle.gov/parks/park_detail.asp?ID=293,-122.334906,47.645639
Ceremonies,Golden Garden Park,8498 Seaview Pl. NW,http://www.seattle.gov/parks/park_detail.asp?ID=243,-122.40327,47.692105
Ceremonies,Hamilton Viewpoint Park,1531 California Way SW,http://www.seattle.gov/parks/park_detail.asp?ID=454,-122.389068,47.590747
Ceremonies,Kerry Park And Viewpoint,211 W Highland Dr.,http://www.seattle.gov/parks/park_detail.asp?ID=342,-122.359874,47.629023
Ceremonies,Kinnear Park,899 W Olympic Pl.,http://www.seattle.gov/parks/park_detail.asp?ID=314,-122.367207,47.627317
Ceremonies,Licton Springs Park,9536 Ashworth Ave. N,http://www.seattle.gov/parks/park_detail.asp?ID=286,-122.338735,47.698542
Ceremonies,Boren Park,15th Ave. E and E Olin Pl.,http://www.seattle.gov/parks/park_detail.asp?ID=362,-122.311628,47.635274
Ceremonies,Madrona Park,853 Lake Washington Blvd.,http://www.seattle.gov/parks/park_detail.asp?ID=370,-122.282679,47.609299
Ceremonies,Magnolia Park,1461 Magnolia Blvd. W,http://www.seattle.gov/parks/park_detail.asp?ID=317,-122.397349,47.633426
Ceremonies,Mount Baker Park,2521 Lake Park Dr. S,http://www.seattle.gov/parks/park_detail.asp?ID=419,-122.288481,47.580957
Ceremonies,Parsons Gardens,650 W Highland Dr.,http://www.seattle.gov/parks/park_detail.asp?ID=324,-122.366082,47.629868
Childrens Play Areas,Green Lake Park,7201 E Green Lake Dr. N,http://www.seattle.gov/parks/park_detail.asp?ID=307,-122.327642,47.680649
Childrens Play Areas,Dahl Playfield,7700 25th Ave. NE,http://www.seattle.gov/parks/park_detail.asp?ID=499,-122.300034,47.684193
Childrens Play Areas,Alki Playground - Whales Tail,5817 SW Lander St.,http://www.seattle.gov/parks/park_detail.asp?ID=446,-122.407161,47.579322
Childrens Play Areas,Montlake Totlot,1618 E Calhoun St.,http://www.seattle.gov/parks/park_detail.asp?ID=376,-122.298409,47.639556
Childrens Play Areas,Dearborn Park,2919 S Brandon St.,http://www.seattle.gov/parks/park_detail.asp?ID=408,-122.294673,47.553121
Childrens Play Areas,Loyal Heights Playfield,2101 NW 77th St.,http://www.seattle.gov/parks/park_detail.asp?ID=289,-122.384004,47.684674
Childrens Play Areas,Fairmount Playground,2627 39th Ave. SW,http://www.seattle.gov/parks/park_detail.asp?ID=4410,-122.380145,47.554241
Childrens Play Areas,Sacajawea Playground,1726 NE 94th St.,http://www.seattle.gov/parks/park_detail.asp?ID=394,-122.307483,47.697116
Childrens Play Areas,Sam Smith Park,1400 Martin Luther King Jr. Way S,http://www.seattle.gov/parks/park_detail.asp?ID=4242,-122.295257,47.590078
Childrens Play Areas,University Playground,9th Ave. NE and NE 50th St.,http://www.seattle.gov/parks/park_detail.asp?ID=435,-122.319748,47.66424
Childrens Play Areas,Victory Heights Playground,1737 NE 106th St.,http://www.seattle.gov/parks/park_detail.asp?ID=438,-122.307885,47.706009
Childrens Play Areas,Spruce Street Mini Park,160 21st Ave.,http://www.seattle.gov/parks/park_detail.asp?ID=3117,-122.304647,47.602851
Childrens Play Areas,Beer Sheva Park,8650 55th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=440,-122.263929,47.524687
Childrens Play Areas,Mayfair Park,2600 2nd Ave. N,http://www.seattle.gov/parks/park_detail.asp?ID=321,-122.3534,47.643218
Childrens Play Areas,Bryant Playground,4103 NE 65th St.,http://www.seattle.gov/parks/park_detail.asp?ID=482,-122.283367,47.675213
Childrens Play Areas,Magnolia Park,1461 Magnolia Blvd. W,http://www.seattle.gov/parks/park_detail.asp?ID=317,-122.398099,47.633225
Childrens Play Areas,Carkeek Park,950 NW Carkeek Park Rd.,http://www.seattle.gov/parks/park_detail.asp?ID=240,-122.377699,47.713081
Childrens Play Areas,Bhy Kracke Park,1215 5th Ave. N,http://www.seattle.gov/parks/park_detail.asp?ID=304,-122.34779,47.630346
Childrens Play Areas,Salmon Bay Park,2001 NW Canoe Pl.,http://www.seattle.gov/parks/park_detail.asp?ID=249,-122.381343,47.679297
Childrens Play Areas,Othello Playground,4351 S Othello St.,http://www.seattle.gov/parks/park_detail.asp?ID=403,-122.277003,47.536357
Childrens Play Areas,Soundview Playfield,1590 NW 90th St.,http://www.seattle.gov/parks/park_detail.asp?ID=251,-122.380167,47.695277
Childrens Play Areas,International Childrens Park,700 S Lane St.,http://www.seattle.gov/parks/park_detail.asp?ID=364,-122.323333,47.596951
Childrens Play Areas,W. Queen Anne Playfield,1901 1st Ave. W,http://www.seattle.gov/parks/park_detail.asp?ID=330,-122.360588,47.635649
Childrens Play Areas,Garfield Playfield,23rd Ave. and E Cherry St.,http://www.seattle.gov/parks/park_detail.asp?ID=353,-122.300368,47.607697
Childrens Play Areas,W. Magnolia Playfield,2518 34th Ave. W,http://www.seattle.gov/parks/park_detail.asp?ID=319,-122.400374,47.641467
Childrens Play Areas,Rainier Playfield,3700 S Alaska St.,http://www.seattle.gov/parks/park_detail.asp?ID=423,-122.285523,47.562628
Childrens Play Areas,Montlake Playfield,1618 E Calhoun St.,http://www.seattle.gov/parks/park_detail.asp?ID=376,-122.309449,47.641699
Childrens Play Areas,Georgetown Playfield,750 S Homer St.,http://www.seattle.gov/parks/park_detail.asp?ID=410,-122.321488,47.552336
Childrens Play Areas,Alki Playground,5817 SW Lander St.,http://www.seattle.gov/parks/park_detail.asp?ID=446,-122.407731,47.577899
Childrens Play Areas,Riverview Playfield,7226 12th Ave. SW,http://www.seattle.gov/parks/park_detail.asp?ID=463,-122.349962,47.539281
Childrens Play Areas,Benefit Playground,9320 38th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=436,-122.284172,47.518527
Childrens Play Areas,Wallingford Playfield,4219 Wallingford Ave. N,http://www.seattle.gov/parks/park_detail.asp?ID=449,-122.337,47.658949
Childrens Play Areas,Discovery Park,3801 W Government Way,http://www.seattle.gov/parks/park_detail.asp?ID=310,-122.40498,47.656073
Childrens Play Areas,Viewridge Playfield,4408 NE 70th St.,http://www.seattle.gov/parks/park_detail.asp?ID=444,-122.279969,47.679747
Childrens Play Areas,Miller Playfield,400 19th Ave. E,http://www.seattle.gov/parks/park_detail.asp?ID=373,-122.306979,47.621093
Childrens Play Areas,Judkins Park And Playfield,2150 S Norman St.,http://www.seattle.gov/parks/park_detail.asp?ID=397,-122.303915,47.59263
Childrens Play Areas,Lake City Playground,2750 NE 125th St.,http://www.seattle.gov/parks/park_detail.asp?ID=4002,-122.299723,47.718097
Childrens Play Areas,Gas Works Park,2101 N Northlake Way,http://www.seattle.gov/parks/park_detail.asp?ID=293,-122.333523,47.645676
Childrens Play Areas,Powell Barnett Park,352 Martin Luther King Jr. Way,http://www.seattle.gov/parks/park_detail.asp?ID=345,-122.29592,47.604589
Childrens Play Areas,Brighton Playfield,6000 39th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=402,-122.282917,47.548573
Childrens Play Areas,Cascade Playground,333 Pontius Ave. N,http://www.seattle.gov/parks/park_detail.asp?ID=350,-122.332611,47.621666
Childrens Play Areas,Leschi Park,100 Lakeside Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=367,-122.286993,47.600843
Childrens Play Areas,Lincoln Park - South,8011 Fauntleroy Way SW,http://www.seattle.gov/parks/park_detail.asp?ID=460,-122.39478,47.527159
Childrens Play Areas,Lincoln Park - Beach,8011 Fauntleroy Way SW,http://www.seattle.gov/parks/park_detail.asp?ID=460,-122.394773,47.526345
Childrens Play Areas,Ross Playground,4320 4th Ave. NW,http://www.seattle.gov/parks/park_detail.asp?ID=248,-122.361217,47.660199
Childrens Play Areas,Rainier Community Center,3700 S Alaska St.,http://www.seattle.gov/parks/park_detail.asp?ID=423,-122.283408,47.561233
Childrens Play Areas,Minor Playground,17th Ave. E and E Union St.,http://www.seattle.gov/parks/park_detail.asp?ID=3913,-122.310569,47.613126
Childrens Play Areas,Laurelhurst Playfield,4544 NE 41st St.,http://www.seattle.gov/parks/park_detail.asp?ID=340,-122.277838,47.659629
Childrens Play Areas,Bayview-Kinnear Park,2614 24th Ave. W,http://www.seattle.gov/parks/park_detail.asp?ID=303,-122.360237,47.6289
Childrens Play Areas,Prentis Frazier Park,401 24th Ave. E,http://www.seattle.gov/parks/park_detail.asp?ID=357,-122.301471,47.62283
